id;date;description;amount;balance;account_id
1;2020-09-28;Bedfordshire multi-byte;35298;11080;1
2;2020-09-28;invoice Fish orchid;79742;64448;1
3;2020-09-29;AI Bacon Right-sized;18041;72425;1
4;2020-09-29;navigating;39154;58068;1
5;2020-09-29;Kentucky;59257;68516;1
6;2020-09-29;payment Indian Rupee Ngultrum IB;78918;10376;1
7;2020-09-29;red;23526;30436;1
8;2020-09-28;Practical Concrete Bacon Planner transmitting;39529;73543;1
9;2020-09-28;real-time hard drive;65943;11659;1
10;2020-09-29;Games;66041;65123;1
